                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0402,                 4.4196,                 1.4078,                      0,                      0,                      0,                      0,                0.47706,                 3.8279,                 1.0363,              4.995e-05,              4.995e-05,              4.995e-05
                      2,                0.68198,                 4.1883,                  1.164,                      0,                      0,                      0,                      0,                0.41604,                 3.7798,                0.94497,             0.00010195,             0.00010195,             0.00010195
                      3,                0.62508,                 3.9289,                 1.1106,                0.08953,                0.55452,                0.13852,                0.13164,                0.45422,                 3.5574,                0.95119,             0.00015264,             0.00015264,             0.00015264
                      4,                0.66383,                 3.6791,                 1.1353,                0.09844,                0.77473,                0.19708,                 0.1732,                0.38811,                 3.4432,                0.90349,               0.000202,               0.000202,               0.000202
                      5,                0.65083,                 3.5179,                 1.1312,                0.05749,                0.93292,                0.39776,                0.36642,                0.44547,                 3.1228,                0.94562,             0.00025005,             0.00025005,             0.00025005
                      6,                0.69626,                  3.319,                 1.1694,                0.76668,                0.17795,                0.39731,                0.37045,                0.42101,                 2.8241,                0.93649,             0.00029678,             0.00029678,             0.00029678
                      7,                0.68486,                 3.0856,                  1.167,                 0.5341,                0.39154,                0.48361,                 0.4441,                0.42116,                 2.4065,                0.91564,             0.00030827,             0.00030827,             0.00030827
                      8,                0.67796,                 2.8298,                  1.149,                0.53945,                0.44143,                0.53583,                 0.4851,                0.50521,                 2.1595,                 1.0073,             0.00030415,             0.00030415,             0.00030415
                      9,                0.66427,                 2.6049,                   1.14,                0.49215,                0.55952,                0.58202,                0.52602,                0.48701,                 1.8615,                0.99752,             0.00030003,             0.00030003,             0.00030003
                     10,                  0.686,                  2.448,                 1.1433,                0.54876,                0.68627,                0.69109,                0.61254,                0.51229,                 1.7517,                 1.0172,             0.00029591,             0.00029591,             0.00029591
                     11,                0.68016,                  2.333,                 1.1512,                0.61943,                0.64263,                0.69215,                0.61421,                0.53022,                 1.7076,                 1.0365,             0.00029179,             0.00029179,             0.00029179
                     12,                0.63099,                 2.1766,                 1.1057,                0.60538,                0.71211,                0.72419,                0.65878,                0.52247,                 1.4564,                 1.0611,             0.00028767,             0.00028767,             0.00028767
                     13,                0.58953,                 1.9941,                 1.0727,                0.60587,                 0.6756,                0.77735,                0.70751,                0.44784,                 1.4075,                0.97923,             0.00028355,             0.00028355,             0.00028355
                     14,                0.59277,                 1.8817,                 1.0784,                0.87365,                0.57676,                 0.6821,                0.61755,                0.44803,                 1.2848,                0.96325,             0.00027943,             0.00027943,             0.00027943
                     15,                0.57218,                 1.8012,                 1.0509,                0.71248,                0.61989,                0.76187,                0.68942,                0.42468,                 1.4806,                0.95052,             0.00027531,             0.00027531,             0.00027531
                     16,                0.54663,                 1.7027,                 1.0498,                  0.733,                0.66578,                0.78018,                0.71853,                0.41107,                 1.4655,                0.94433,             0.00027119,             0.00027119,             0.00027119
                     17,                0.56016,                 1.6916,                 1.0552,                0.66828,                0.80276,                0.83719,                0.76847,                 0.4429,                 1.0251,                0.98036,             0.00026707,             0.00026707,             0.00026707
                     18,                0.55961,                 1.5943,                 1.0511,                0.75181,                0.64943,                0.81044,                0.74203,                0.46683,                 1.1615,                0.99829,             0.00026295,             0.00026295,             0.00026295
                     19,                0.55505,                 1.5483,                 1.0507,                0.73905,                0.70752,                0.82652,                 0.7657,                0.42007,                 1.1114,                0.96744,             0.00025882,             0.00025882,             0.00025882
